year,month,value,date
1964,4,-0.35,196404
1964,5,-0.09,196405
1964,6,-0.16,196406
1964,7,-0.15,196407
1964,8,-0.19,196408
1964,9,-0.29,196409
1964,10,-0.48,196410
1964,11,-0.15,196411
1964,12,-0.34,196412
1965,1,0.12,196501
1965,2,-0.38,196502
1965,3,-0.08,196503
1965,4,-0.41,196504
1965,5,-0.1,196505
1965,6,-0.06,196506
1965,7,-0.16,196507
1965,8,-0.17,196508
1965,9,-0.15,196509
1965,10,0.15,196510
1965,11,-0.24,196511
1965,12,0.06,196512
1966,1,-0.15,196601
1966,2,-0.03,196602
1966,3,0.12,196603
1966,4,-0.27,196604
1966,5,-0.02,196605
1966,6,0.19,196606
1966,7,0.17,196607
1966,8,0.1,196608
1966,9,0.09,196609
1966,10,-0.14,196610
1966,11,-0.16,196611
1966,12,-0.47,196612
1967,1,-0.2,196701
1967,2,-0.38,196702
1967,3,0.1,196703
1967,4,0.13,196704
1967,5,0.34,196705
1967,6,-0.2,196706
1967,7,-0.11,196707
1967,8,-0.11,196708
1967,9,-0.09,196709
1967,10,0.53,196710
1967,11,0.1,196711
1967,12,0.12,196712
1968,1,-0.34,196801
1968,2,-0.06,196802
1968,3,0.87,196803
1968,4,-0.03,196804
1968,5,-0.21,196805
1968,6,-0.22,196806
1968,7,-0.15,196807
1968,8,-0.17,196808
1968,9,-0.2,196809
1968,10,-0.1,196810
1968,11,-0.19,196811
1968,12,-0.47,196812
1969,1,-1.04,196901
1969,2,-0.87,196902
1969,3,-0.04,196903
1969,4,0.11,196904
1969,5,0.05,196905
1969,6,-0.03,196906
1969,7,0.12,196907
1969,8,0.02,196908
1969,9,-0.06,196909
1969,10,-0.03,196910
1969,11,0.41,196911
1969,12,0.48,196912
1970,1,0.08,197001
1970,2,0.57,197002
1970,3,-0.12,197003
1970,4,0.22,197004
1970,5,0.02,197005
1970,6,0.15,197006
1970,7,0.1,197007
1970,8,-0.01,197008
1970,9,0.03,197009
1970,10,-0.21,197010
1970,11,-0.01,197011
1970,12,-0.22,197012
1971,1,0.12,197101
1971,2,-0.37,197102
1971,3,-0.13,197103
1971,4,-0.15,197104
1971,5,-0.08,197105
1971,6,-0.16,197106
